Timestamp,LeftPositionX,LeftPositionY,LeftPositionZ,LeftRotationX,LeftRotationY,LeftRotationZ,LeftRotationW,LeftVelocityX,LeftVelocityY,LeftVelocityZ,LeftAngularVelocityX,LeftAngularVelocityY,LeftAngularVelocityZ,LeftAccelerationX,LeftAccelerationY,LeftAccelerationZ,LeftAngularAccelerationX,LeftAngularAccelerationY,LeftAngularAccelerationZ,RightPositionX,RightPositionY,RightPositionZ,RightRotationX,RightRotationY,RightRotationZ,RightRotationW,RightVelocityX,RightVelocityY,RightVelocityZ,RightAngularVelocityX,RightAngularVelocityY,RightAngularVelocityZ,RightAccelerationX,RightAccelerationY,RightAccelerationZ,RightAngularAccelerationX,RightAngularAccelerationY,RightAngularAccelerationZ,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ,HMDRotationW,HMDVelocityX,HMDVelocityY,HMDVelocityZ,HMDAngularVelocityX,HMDAngularVelocityY,HMDAngularVelocityZ,HMDAccelerationX,HMDAccelerationY,HMDAccelerationZ,HMDAngularAccelerationX,HMDAngularAccelerationY,HMDAngularAccelerationZ,LeftEyePositionX,LeftEyePositionY,LeftEyePositionZ,LeftEyeRotationX,LeftEyeRotationY,LeftEyeRotationZ,LeftEyeRotationW,LeftEyeVelocityX,LeftEyeVelocityY,LeftEyeVelocityZ,LeftEyeAngularVelocityX,LeftEyeAngularVelocityY,LeftEyeAngularVelocityZ,LeftEyeAccelerationX,LeftEyeAccelerationY,LeftEyeAccelerationZ,LeftEyeAngularAccelerationX,LeftEyeAngularAccelerationY,LeftEyeAngularAccelerationZ,RightEyePositionX,RightEyePositionY,RightEyePositionZ,RightEyeRotationX,RightEyeRotationY,RightEyeRotationZ,RightEyeRotationW,RightEyeVelocityX,RightEyeVelocityY,RightEyeVelocityZ,RightEyeAngularVelocityX,RightEyeAngularVelocityY,RightEyeAngularVelocityZ,RightEyeAccelerationX,RightEyeAccelerationY,RightEyeAccelerationZ,RightEyeAngularAccelerationX,RightEyeAngularAccelerationY,RightEyeAngularAccelerationZ,CenterEyePositionX,CenterEyePositionY,CenterEyePositionZ,CenterEyeRotationX,CenterEyeRotationY,CenterEyeRotationZ,CenterEyeRotationW,CenterEyeVelocityX,CenterEyeVelocityY,CenterEyeVelocityZ,CenterEyeAngularVelocityX,CenterEyeAngularVelocityY,CenterEyeAngularVelocityZ,CenterEyeAccelerationX,CenterEyeAccelerationY,CenterEyeAccelerationZ,CenterEyeAngularAccelerationX,CenterEyeAngularAccelerationY,CenterEyeAngularAccelerationZ,PrimaryButtonStateLeft,SecondaryButtonStateLeft,PrimaryTouchStateLeft,SecondaryTouchStateLeft,PrimaryButtonStateRight,SecondaryButtonStateRight,PrimaryTouchStateRight,SecondaryTouchStateRight,TriggerValueLeft,GripValueLeft,TriggerValueRight,GripValueRight
0.02000427,0,0,-0.055,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.04757874,-0.5752298,0.2518182,0.03161911,0.2423274,0.04065459,0.9688265,-0.009401457,-0.002236514,0.008569781,-0.02572747,0.08041282,-0.03095523,0,0,0,0,0,0,-0.01180305,0.01052441,0.0211974,-0.1374955,-0.005973299,-0.004608503,0.9904737,-0.02613486,0.009340918,-0.005489235,0.09512705,0.1922439,-0.06211038,-0.2100566,-0.0007789781,0.005941314,0.06612431,1.490263,-0.5677463,-0.01180305,0.01052441,0.0211974,-0.1374955,-0.005973299,-0.004608503,0.9904737,-0.02613486,0.009340918,-0.005489235,0.09512705,0.1922439,-0.06211038,-0.2100566,-0.0007789781,0.005941314,0.06612431,1.490263,-0.5677463,-0.01180305,0.01052441,0.0211974,-0.1374955,-0.005973299,-0.004608503,0.9904737,-0.02613486,0.009340918,-0.005489235,0.09512705,0.1922439,-0.06211038,-0.2100566,-0.0007789781,0.005941314,0.06612431,1.490263,-0.5677463,-0.01180305,0.01052441,0.0211974,-0.1374955,-0.005973299,-0.004608503,0.9904737,-0.02613486,0.009340918,-0.005489235,0.09512705,0.1922439,-0.06211038,-0.2100566,-0.0007789781,0.005941314,0.06612431,1.490263,-0.5677463,False,False,False,False,False,False,False,False,0,0,0,0
0.03999329,0,0,-0.055,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.04761668,-0.5751206,0.2517424,0.03164896,0.2422374,0.04042318,0.9688578,-0.005583532,-0.001988095,0.003960386,-0.02636857,0.06311046,0.001759776,0,0,0,0,0,0,-0.01233627,0.01066042,0.02108089,-0.1379288,-0.008084363,-0.004194632,0.9904003,-0.02866948,0.008993459,-0.005625417,0.0910513,0.2143224,-0.06985546,-0.1268006,-0.01738249,-0.006812828,-0.2038992,1.104534,-0.387467,-0.01233627,0.01066042,0.02108089,-0.1379288,-0.008084363,-0.004194632,0.9904003,-0.02866948,0.008993459,-0.005625417,0.0910513,0.2143224,-0.06985546,-0.1268006,-0.01738249,-0.006812828,-0.2038992,1.104534,-0.387467,-0.01233627,0.01066042,0.02108089,-0.1379288,-0.008084363,-0.004194632,0.9904003,-0.02866948,0.008993459,-0.005625417,0.0910513,0.2143224,-0.06985546,-0.1268006,-0.01738249,-0.006812828,-0.2038992,1.104534,-0.387467,-0.01233627,0.01066042,0.02108089,-0.1379288,-0.008084363,-0.004194632,0.9904003,-0.02866948,0.008993459,-0.005625417,0.0910513,0.2143224,-0.06985546,-0.1268006,-0.01738249,-0.006812828,-0.2038992,1.104534,-0.387467,False,False,False,False,False,False,False,False,0,0,0,0
0.05999756,0,0,-0.055,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.04775121,-0.5749905,0.2515476,0.03188098,0.2429718,0.04021807,0.9686748,0.006598969,-0.001380989,-0.006732146,-0.02154899,-0.05211121,0.007119322,0,0,0,0,0,0,-0.013544,0.01072654,0.02106402,-0.1389387,-0.01267384,-0.004528324,0.9902096,-0.03450889,0.00708018,-0.005369983,0.08286426,0.261477,-0.05756117,-0.2919082,-0.09564351,0.01276896,-0.4092646,2.357224,0.614583,-0.013544,0.01072654,0.02106402,-0.1389387,-0.01267384,-0.004528324,0.9902096,-0.03450889,0.00708018,-0.005369983,0.08286426,0.261477,-0.05756117,-0.2919082,-0.09564351,0.01276896,-0.4092646,2.357224,0.614583,-0.013544,0.01072654,0.02106402,-0.1389387,-0.01267384,-0.004528324,0.9902096,-0.03450889,0.00708018,-0.005369983,0.08286426,0.261477,-0.05756117,-0.2919082,-0.09564351,0.01276896,-0.4092646,2.357224,0.614583,-0.013544,0.01072654,0.02106402,-0.1389387,-0.01267384,-0.004528324,0.9902096,-0.03450889,0.00708018,-0.005369983,0.08286426,0.261477,-0.05756117,-0.2919082,-0.09564351,0.01276896,-0.4092646,2.357224,0.614583,False,False,False,False,False,False,False,False,0,0,0,0
0.08000183,0,0,-0.055,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.04789948,-0.5750083,0.2513837,0.03201756,0.2439255,0.0401645,0.9684328,0.01054125,-0.001788257,-0.009566468,-0.01915815,-0.08457768,0.005034217,0,0,0,0,0,0,-0.01419846,0.01089189,0.02112426,-0.1397291,-0.01537251,-0.00495396,0.9900581,-0.0373922,0.007214322,-0.004549328,0.08814135,0.2880808,-0.04259979,-0.1441348,0.00670565,0.04102396,0.2637981,1.329904,0.7479096,-0.01419846,0.01089189,0.02112426,-0.1397291,-0.01537251,-0.00495396,0.9900581,-0.0373922,0.007214322,-0.004549328,0.08814135,0.2880808,-0.04259979,-0.1441348,0.00670565,0.04102396,0.2637981,1.329904,0.7479096,-0.01419846,0.01089189,0.02112426,-0.1397291,-0.01537251,-0.00495396,0.9900581,-0.0373922,0.007214322,-0.004549328,0.08814135,0.2880808,-0.04259979,-0.1441348,0.00670565,0.04102396,0.2637981,1.329904,0.7479096,-0.01419846,0.01089189,0.02112426,-0.1397291,-0.01537251,-0.00495396,0.9900581,-0.0373922,0.007214322,-0.004549328,0.08814135,0.2880808,-0.04259979,-0.1441348,0.00670565,0.04102396,0.2637981,1.329904,0.7479096,False,False,False,False,False,False,False,False,0,0,0,0
0.09999084,0,0,-0.055,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.04810839,-0.575084,0.2511696,0.03224203,0.2449869,0.03968149,0.9681773,0.01063169,-0.004046473,-0.01000998,-0.02369076,-0.07800179,0.0228019,0,0,0,0,0,0,-0.01549309,0.01093194,0.02110835,-0.1409079,-0.02114963,-0.005416465,0.989782,-0.04166576,0.007583325,-0.002851276,0.09134165,0.3418921,-0.03297314,-0.2137952,0.01846029,0.08494929,0.1601029,2.692044,0.4815968,-0.01549309,0.01093194,0.02110835,-0.1409079,-0.02114963,-0.005416465,0.989782,-0.04166576,0.007583325,-0.002851276,0.09134165,0.3418921,-0.03297314,-0.2137952,0.01846029,0.08494929,0.1601029,2.692044,0.4815968,-0.01549309,0.01093194,0.02110835,-0.1409079,-0.02114963,-0.005416465,0.989782,-0.04166576,0.007583325,-0.002851276,0.09134165,0.3418921,-0.03297314,-0.2137952,0.01846029,0.08494929,0.1601029,2.692044,0.4815968,-0.01549309,0.01093194,0.02110835,-0.1409079,-0.02114963,-0.005416465,0.989782,-0.04166576,0.007583325,-0.002851276,0.09134165,0.3418921,-0.03297314,-0.2137952,0.01846029,0.08494929,0.1601029,2.692044,0.4815968,False,False,False,False,False,False,False,False,0,0,0,0
0.1199951,0,0,-0.055,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.04808704,-0.5750887,0.2512063,0.03223336,0.2448639,0.03958653,0.9682126,0.005892304,-0.0034506,-0.00761547,-0.01538085,-0.03707602,0.02447354,0,0,0,0,0,0,-0.01629275,0.01089012,0.02105093,-0.1407076,-0.02397999,-0.006185357,0.9897414,-0.04386883,0.006239503,-0.002369698,0.06974064,0.3631322,-0.01577469,-0.1101301,-0.06717673,0.02407374,-1.07982,1.061779,0.8597388,-0.01629275,0.01089012,0.02105093,-0.1407076,-0.02397999,-0.006185357,0.9897414,-0.04386883,0.006239503,-0.002369698,0.06974064,0.3631322,-0.01577469,-0.1101301,-0.06717673,0.02407374,-1.07982,1.061779,0.8597388,-0.01629275,0.01089012,0.02105093,-0.1407076,-0.02397999,-0.006185357,0.9897414,-0.04386883,0.006239503,-0.002369698,0.06974064,0.3631322,-0.01577469,-0.1101301,-0.06717673,0.02407374,-1.07982,1.061779,0.8597388,-0.01629275,0.01089012,0.02105093,-0.1407076,-0.02397999,-0.006185357,0.9897414,-0.04386883,0.006239503,-0.002369698,0.06974064,0.3631322,-0.01577469,-0.1101301,-0.06717673,0.02407374,-1.07982,1.061779,0.8597388,False,False,False,False,False,False,False,False,0,0,0,0
0.1399994,0,0,-0.055,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.04807541,-0.5750995,0.2512281,0.03225855,0.244868,0.03955242,0.9682121,0.001518547,-0.002530353,-0.004514177,-0.01160134,-0.00891119,0.009889994,0,0,0,0,0,0,-0.01805706,0.01082319,0.02105219,-0.140771,-0.03189356,-0.006538675,0.9895068,-0.04862348,0.003431908,-0.002025081,0.04642547,0.4170461,-0.02089418,-0.237682,-0.1403498,0.01722718,-1.165509,2.695119,-0.2559199,-0.01805706,0.01082319,0.02105219,-0.140771,-0.03189356,-0.006538675,0.9895068,-0.04862348,0.003431908,-0.002025081,0.04642547,0.4170461,-0.02089418,-0.237682,-0.1403498,0.01722718,-1.165509,2.695119,-0.2559199,-0.01805706,0.01082319,0.02105219,-0.140771,-0.03189356,-0.006538675,0.9895068,-0.04862348,0.003431908,-0.002025081,0.04642547,0.4170461,-0.02089418,-0.237682,-0.1403498,0.01722718,-1.165509,2.695119,-0.2559199,-0.01805706,0.01082319,0.02105219,-0.140771,-0.03189356,-0.006538675,0.9895068,-0.04862348,0.003431908,-0.002025081,0.04642547,0.4170461,-0.02089418,-0.237682,-0.1403498,0.01722718,-1.165509,2.695119,-0.2559199,False,False,False,False,False,False,False,False,0,0,0,0
0.1600037,0,0,-0.055,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.04805968,-0.5751333,0.2511751,0.03242742,0.2449012,0.03947141,0.9682014,-0.001638533,-0.002759318,-0.001948306,-0.01781986,0.003477802,0.005738197,0,0,0,0,0,0,-0.01986199,0.01070304,0.02095467,-0.1406085,-0.03982104,-0.00476647,0.9892527,-0.05960789,0.001016305,-0.002813613,0.02987949,0.5469571,-0.08791496,-0.5491028,-0.1207544,-0.03941819,-0.8271226,6.494166,-3.350323,-0.01986199,0.01070304,0.02095467,-0.1406085,-0.03982104,-0.00476647,0.9892527,-0.05960789,0.001016305,-0.002813613,0.02987949,0.5469571,-0.08791496,-0.5491028,-0.1207544,-0.03941819,-0.8271226,6.494166,-3.350323,-0.01986199,0.01070304,0.02095467,-0.1406085,-0.03982104,-0.00476647,0.9892527,-0.05960789,0.001016305,-0.002813613,0.02987949,0.5469571,-0.08791496,-0.5491028,-0.1207544,-0.03941819,-0.8271226,6.494166,-3.350323,-0.01986199,0.01070304,0.02095467,-0.1406085,-0.03982104,-0.00476647,0.9892527,-0.05960789,0.001016305,-0.002813613,0.02987949,0.5469571,-0.08791496,-0.5491028,-0.1207544,-0.03941819,-0.8271226,6.494166,-3.350323,False,False,False,False,False,False,False,False,0,0,0,0
0.1799927,0,0,-0.055,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.047993,-0.5752023,0.2511795,0.03277006,0.2448165,0.03941454,0.9682136,-0.003609295,-0.004992895,0.0003433833,-0.02945182,0.00618108,-0.00738811,0,0,0,0,0,0,-0.02428063,0.01078381,0.02093139,-0.1408322,-0.05942068,-0.003066923,0.9882439,-0.08587567,7.794239E-05,-0.003059573,0.0294796,0.8321069,-0.1751024,-1.314111,-0.04694391,-0.01230478,-0.02000537,14.26532,-4.361766,-0.02428063,0.01078381,0.02093139,-0.1408322,-0.05942068,-0.003066923,0.9882439,-0.08587567,7.794239E-05,-0.003059573,0.0294796,0.8321069,-0.1751024,-1.314111,-0.04694391,-0.01230478,-0.02000537,14.26532,-4.361766,-0.02428063,0.01078381,0.02093139,-0.1408322,-0.05942068,-0.003066923,0.9882439,-0.08587567,7.794239E-05,-0.003059573,0.0294796,0.8321069,-0.1751024,-1.314111,-0.04694391,-0.01230478,-0.02000537,14.26532,-4.361766,-0.02428063,0.01078381,0.02093139,-0.1408322,-0.05942068,-0.003066923,0.9882439,-0.08587567,7.794239E-05,-0.003059573,0.0294796,0.8321069,-0.1751024,-1.314111,-0.04694391,-0.01230478,-0.02000537,14.26532,-4.361766,False,False,False,False,False,False,False,False,0,0,0,0
0.1999969,0,0,-0.055,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.04801082,-0.575286,0.2512639,0.03320342,0.2446941,0.03944171,0.9682286,-0.003400829,-0.009004713,0.001479774,-0.04334142,0.01428335,-0.01190369,0,0,0,0,0,0,-0.02774685,0.01048403,0.02069761,-0.1403081,-0.07785013,-0.001161885,0.9870419,-0.1166215,-0.001933411,-0.003963795,0.02933127,1.184127,-0.2672749,-1.536962,-0.1005462,-0.0452014,-0.007414724,17.59724,-4.607641,-0.02774685,0.01048403,0.02069761,-0.1403081,-0.07785013,-0.001161885,0.9870419,-0.1166215,-0.001933411,-0.003963795,0.02933127,1.184127,-0.2672749,-1.536962,-0.1005462,-0.0452014,-0.007414724,17.59724,-4.607641,-0.02774685,0.01048403,0.02069761,-0.1403081,-0.07785013,-0.001161885,0.9870419,-0.1166215,-0.001933411,-0.003963795,0.02933127,1.184127,-0.2672749,-1.536962,-0.1005462,-0.0452014,-0.007414724,17.59724,-4.607641,-0.02774685,0.01048403,0.02069761,-0.1403081,-0.07785013,-0.001161885,0.9870419,-0.1166215,-0.001933411,-0.003963795,0.02933127,1.184127,-0.2672749,-1.536962,-0.1005462,-0.0452014,-0.007414724,17.59724,-4.607641,False,False,False,False,False,False,False,False,0,0,0,0
