no,video_id,yielding,eHMIOn,distPed,p1,p2,camera,group,video_length,condition_name,yield_start_time_s,yield_start_carDist_m,yield_start_speed_kmh,yield_start_dP1_m,yield_start_dP2_m,yield_stop_time_s,yield_stop_carDist_m,yield_stop_speed_kmh,yield_stop_dP1_m,yield_stop_dP2_m,yield_resume_time_s,yield_resume_carDist_m,yield_resume_speed_kmh,yield_resume_dP1_m,yield_resume_dP2_m,yield_end_time_s,yield_end_carDist_m,yield_end_speed_kmh,yield_end_dP1_m,yield_end_dP2_m,cross_p2_time_s,cross_p2_carDist_m,cross_p2_speed_kmh,cross_p2_pedDist_m,cross_p1_time_s,cross_p1_carDist_m,cross_p1_speed_kmh,cross_p1_pedDist_m
18,video_16,1,1,1,1,0,1,1,18000,"Yes yielding, eHMI on, Distance 1, Cannot see other person",5.8,60.69,49.05,44.33,42.33,11.7,99.93,0.0,5.76,4.14,14.2,100.02,0.69,5.68,4.07,14.74,102.0,12.68,4.08,2.98,14.92,103.1,12.7,2.0,15.16,105.0,12.7,2.0
19,video_17,1,1,2,1,0,1,1,18000,"Yes yielding, eHMI on, Distance 2, Cannot see other person",5.76,60.21,51.68,46.8,42.81,11.9,99.93,0.0,7.56,4.14,14.4,100.56,4.57,6.98,3.7,14.78,102.21,4.57,5.51,2.92,14.9,102.9,17.1,4.0,15.36,107.2,17.1,4.0
20,video_18,1,1,3,1,0,1,1,18000,"Yes yielding, eHMI on, Distance 3, Cannot see other person",5.78,60.23,47.48,48.78,42.79,11.72,99.93,0.0,9.45,4.14,14.22,100.12,1.38,9.26,4.0,14.78,102.21,12.73,7.29,2.92,14.9,103.0,12.7,6.0,15.5,109.2,27.5,6.0
21,video_19,1,1,4,1,0,1,1,18000,"Yes yielding, eHMI on, Distance 4, Cannot see other person",5.8,60.7,48.68,50.31,42.32,11.68,99.93,0.0,11.37,4.14,14.18,100.04,0.79,11.26,4.06,14.74,102.02,11.53,9.35,2.98,14.98,103.4,11.5,8.0,15.64,111.2,25.9,8.0
22,video_20,1,1,5,1,0,1,1,18000,"Yes yielding, eHMI on, Distance 5, Cannot see other person",5.76,60.18,49.94,52.83,42.84,11.7,99.93,0.0,13.31,4.14,14.2,100.09,1.15,13.16,4.03,14.76,102.05,11.41,11.24,2.97,14.96,103.3,11.4,10.0,15.82,113.5,48.0,10.0
23,video_21,0,1,1,0,1,0,1,11000,"No yielding, eHMI on, Distance 1, Can see other person",,,,,,,,,,,,,,,,,,,,,9.58,103.1,50.3,2.0,9.72,105.0,50.3,2.0
24,video_22,0,1,2,0,1,0,1,11000,"No yielding, eHMI on, Distance 2, Can see other person",,,,,,,,,,,,,,,,,,,,,9.58,103.1,50.2,4.0,9.86,107.0,50.4,4.0
25,video_23,0,1,3,0,1,0,1,11000,"No yielding, eHMI on, Distance 3, Can see other person",,,,,,,,,,,,,,,,,,,,,9.58,103.1,50.2,6.0,10.0,109.0,50.4,6.0
26,video_24,0,1,4,0,1,0,1,11000,"No yielding, eHMI on, Distance 4, Can see other person",,,,,,,,,,,,,,,,,,,,,9.58,103.1,50.3,8.0,10.14,111.0,50.5,8.0
27,video_25,0,1,5,0,1,0,1,11000,"No yielding, eHMI on, Distance 5, Can see other person",,,,,,,,,,,,,,,,,,,,,9.58,103.1,50.2,10.0,10.28,113.0,50.5,10.0
28,video_26,0,1,1,1,0,1,1,11000,"No yielding, eHMI on, Distance 1, Cannot see other person",,,,,,,,,,,,,,,,,,,,,9.58,103.1,50.2,2.0,9.72,105.0,50.2,2.0
29,video_27,0,1,2,1,0,1,1,11000,"No yielding, eHMI on, Distance 2, Cannot see other person",,,,,,,,,,,,,,,,,,,,,9.58,103.1,50.2,4.0,9.86,107.0,50.3,4.0
30,video_28,0,1,3,1,0,1,1,11000,"No yielding, eHMI on, Distance 3, Cannot see other person",,,,,,,,,,,,,,,,,,,,,9.58,103.1,50.2,6.0,10.0,109.0,50.4,6.0
31,video_29,0,1,4,1,0,1,1,11000,"No yielding, eHMI on, Distance 4, Cannot see other person",,,,,,,,,,,,,,,,,,,,,9.58,103.1,50.2,8.0,10.14,111.0,50.4,8.0
32,video_30,0,1,5,1,0,1,1,11000,"No yielding, eHMI on, Distance 5, Cannot see other person",,,,,,,,,,,,,,,,,,,,,9.58,103.1,50.2,10.0,10.28,113.0,50.7,10.0
33,video_31,0,0,1,0,1,0,1,11000,"No yielding, eHMI off, Distance 1, Can see other person",,,,,,,,,,,,,,,,,,,,,9.58,103.1,50.2,2.0,9.72,105.0,50.3,2.0
34,video_32,0,0,2,0,1,0,1,11000,"No yielding, eHMI off, Distance 2, Can see other person",,,,,,,,,,,,,,,,,,,,,9.58,103.1,50.3,4.0,9.86,107.0,50.3,4.0
35,video_33,0,0,3,0,1,0,1,11000,"No yielding, eHMI off, Distance 3, Can see other person",,,,,,,,,,,,,,,,,,,,,9.58,103.1,50.2,6.0,10.0,109.0,50.3,6.0
36,video_34,0,0,4,0,1,0,1,11000,"No yielding, eHMI off, Distance 4, Can see other person",,,,,,,,,,,,,,,,,,,,,9.58,103.1,50.3,8.0,10.14,111.0,50.6,8.0
37,video_35,0,0,5,0,1,0,1,11000,"No yielding, eHMI off, Distance 5, Can see other person",,,,,,,,,,,,,,,,,,,,,9.58,103.1,50.2,10.0,10.28,113.0,50.4,10.0
38,video_36,0,0,1,1,0,1,1,11000,"No yielding, eHMI off, Distance 1, Cannot see other person",,,,,,,,,,,,,,,,,,,,,9.58,103.1,50.2,2.0,9.72,105.0,50.4,2.0
39,video_37,0,0,2,1,0,1,1,11000,"No yielding, eHMI off, Distance 2, Cannot see other person",,,,,,,,,,,,,,,,,,,,,9.58,103.1,50.3,4.0,9.86,107.0,50.3,4.0
40,video_38,0,0,3,1,0,1,1,11000,"No yielding, eHMI off, Distance 3, Cannot see other person",,,,,,,,,,,,,,,,,,,,,9.58,103.1,50.2,6.0,10.0,109.0,50.3,6.0
41,video_39,0,0,4,1,0,1,1,11000,"No yielding, eHMI off, Distance 4, Cannot see other person",,,,,,,,,,,,,,,,,,,,,9.58,103.1,50.2,8.0,10.14,111.0,50.4,8.0
42,video_40,0,0,5,1,0,1,1,11000,"No yielding, eHMI off, Distance 5, Cannot see other person",,,,,,,,,,,,,,,,,,,,,9.58,103.1,50.2,10.0,10.28,113.0,51.3,10.0
